S.no,Movie Title,Genre,Budget (Cr),Director Success Rate,Lead Actor Success Rate,IMDb,Trailer Views (M),Box Office Revenue
352,Venkatadri express,Comedy,10.0,40.0,60.0,7.5,0.329,13.5
353,Raja raja chor,Comedy,2.2,20.0,70.0,7.5,0.38,11.15
354,Hushaaru,Comedy,1.0,66.66,30.0,6.7,1.2,5.0
355,ABCD,Comedy,4.5,25.0,10.0,5.5,7,12.5
356,Rang de,Comedy,30.0,80.0,65.0,6.3,16,24.0
357,Dubai seenu,Comedy,9.0,50.0,85.0,6.5,0.32,15.89
358,PellisandaD,Comedy,1.25,70.0,10.0,2.9,11,12.0
359,Khaleja,Comedy,32.0,80.0,75.0,7.6,0.85,20.02
360,F2,Comedy,30.0,75.0,83.0,6.1,14,100.0
361,Ready,Comedy,8.0,70.0,33.0,7.2,0.16,17.0
362,Run raaja run,Comedy,4.0,20.0,65.0,7.3,0.574,20.0
363,Kalyana vibhogame,Comedy,1.0,50.0,35.2,7.5,0.676,1.53
364,Babu bangaram,Comedy,20.0,60.0,83.0,5.0,0.953,80.0
365,Loukhyam,Comedy,12.0,44.44,73.33,8.0,0.65,50.0
366,Krishna vrinda vihari,Comedy,8.9,50.0,35.2,5.8,0.987,8.9
367,Bruce Lee,Comedy,5.0,70.0,57.14,8.0,0.451,30.0
368,Oka laila kosam,Comedy,20.0,33.33,40.17,6.0,0.83,40.0
369,Writer padmabhusam,Comedy,3.0,100.0,75.0,7.5,0.178,10.34
370,Dhee,Comedy,5.0,70.0,20.0,7.2,11,12.0
371,Raju gari gadhi,Comedy,2.0,60.0,33.33,5.1,0.53,50.0
372,Paagal,Comedy,7.0,0.0,30.0,5.6,7.7,6.0
373,Anubavinchu raaja,Comedy,8.0,66.0,40.0,5.4,6.1,4.95
374,Body guard,Comedy,20.0,50.0,83.0,5.0,0.12,21.3
375,Sundaram master,Comedy,1.5,0.0,70.0,7.0,3,55.0
376,Seema tapakai,Comedy,4.0,60.0,65.0,7.3,3.4,2.06
377,Pareshan,Comedy,1.15,50.0,33.0,5.7,1.3,12.0
378,Sudigaadu,Comedy,3.5,60.0,65.0,6.1,0.306,22.0
379,Like share and subscribe,Comedy,2.0,40.0,23.0,5.2,2,1.34
380,Gaali sampath,Comedy,20.0,50.0,70.0,6.5,0.145,0.8
381,BomBhaat,Comedy,10.0,0.0,65.0,5.6,1.4,1.0
382,Kithakithalu,Comedy,1.5,80.0,70.0,6.0,57,8.0
383,Pressure cooker,Comedy,4.4,0.0,41.67,6.3,0.152,0.6
384,Bheeshma,Comedy,25.0,30.0,65.0,6.6,14,50.0
385,Naani,Comedy,14.0,62.5,75.0,5.2,0.823,71.65
386,Tenali ramakrishna BA. BL,Comedy,8.0,25.0,60.0,4.9,3.7,10.0
387,Jyo Achyutananda,Comedy,1.2,40.0,35.2,6.1,1.1,7.0
388,Mahanubhavudu,Comedy,12.0,60.0,65.0,6.4,4.5,36.0
389,Happy birthday,Comedy,6.0,33.33,40.5,5.6,1.1,3.0
390,Poola Rangadu,Comedy,2.0,25.0,80.0,5.6,0.138,8.0
391,Sudigadu,Comedy,1.0,25.0,75.0,6.1,0.442,14.0
392,Robinhood,Comedy,60.0,30.0,65.0,4.5,15,15.0
393,Swag,Comedy,15.0,20.0,70.0,7.5,2.4,4.15
394,Maruti nagar subramanyam,Comedy,4.0,0.0,40.0,7.7,0.339,4.0
395,35 chinna katha kadu,Comedy,15.0,40.0,65.0,7.9,0.537,3.35
396,Pakka commercial,Comedy,12.5,60.0,73.33,4.2,8.3,14.18
397,Slum dog husband,Comedy,1.0,20.0,10.0,6.5,0.221,0.4
398,Ramnagar bunny,Comedy,4.0,0.0,30.0,6.9,1,1.35
399,Lucky bhaskar,Thriller,56.0,70.0,100.0,8.0,2.1,107.0
400,Thandel,Thriller,80.0,80.0,20.0,5.9,15,100.0
401,Kalki-2989AD,Thriller,200.0,80.0,43.0,7.0,31,1200.0
402,Fear,Thriller,12.0,60.0,30.0,8.8,1,15.0
403,Legally Veer,Thriller,4.0,100.0,0.0,7.9,0.06,0.08
404,Pushpa the rise-part 1,Thriller,200.0,77.78,52.63,7.6,74,373.0
405,Hathya,Thriller,6.0,50.0,33.0,7.7,2,0.24
406,Agent,Thriller,150.0,75.0,25.0,3.7,0.17,10.05
407,Devara -1,Thriller,200.0,80.0,45.0,6.0,20,146.0
408,Saripodha Sanivaram,Thriller,90.0,75.0,60.0,7.0,22,94.85
409,Ramam Raghavam,Thriller,25.0,84.0,35.0,6.2,0.546,0.3
410,Mangalvaram,Thriller,10.0,66.67,37.5,6.8,11,21.35
411,Guard-Revenge of Love,Thriller,4.0,50.0,31.0,9.3,1,0.03
412,My name is Shruti,Thriller,2.5,100.0,40.0,6.2,2.8,1.0
413,Evaru,Thriller,8.0,70.0,71.0,8.1,7.9,21.12
414,Maguva,Thriller,24.0,49.0,25.0,4.9,0.052,3.0
415,Mr.Bachchan,Thriller,70.0,80.0,50.0,3.6,7.1,7.0
416,Bharat ane nenu,Thriller,60.0,80.0,75.0,7.4,20,125.0
417,Hit the second case,Thriller,15.0,70.0,71.0,7.1,8.9,35.0
418,Rakshana,Thriller,10.0,56.0,60.0,5.6,1.2,0.54
419,Eagle,Thriller,150.0,50.0,50.0,5.9,15,30.6
420,Hit,Thriller,15.0,70.0,44.0,7.6,2.2,22.0
421,Gaami,Thriller,6.0,60.0,44.4,6.4,9.6,22.0
422,Yashoda,Thriller,50.0,65.0,65.0,6.5,6.2,30.0
423,Virupaksha,Thriller,30.0,85.0,46.7,7.2,14,90.5
424,Bhoothaddam Bhaskar Narayana,Thriller,5.0,50.0,60.0,6.3,3.1,6.0
425,RED,Thriller,30.0,60.0,33.0,6.5,0.267,6.7
426,Highway,Thriller,25.0,60.0,33.33,3.9,1,52.44
427,Ghatikachalam,Thriller,50.0,40.0,25.0,7.0,0.082,1.16
428,Pushpaka Vimanam,Thriller,20.0,55.0,33.3,6.3,0.705,0.55
429,Ekkadiki Pothavu Chinnavada,Thriller,12.0,68.0,41.0,7.4,0.021,20.0
430,Atharva,Thriller,5.0,45.0,42.1,6.7,0.22,0.9
431,Chakravyuham:The Trap,Thriller,2.0,55.0,71.0,7.1,0.24,2.5
432,Nene Raju nene Mantri,Thriller,20.0,70.0,50.0,5.8,11,30.0
433,Falaknamu Das,Thriller,5.0,60.0,44.0,6.3,5.9,12.0
434,The Birthday Boy,Thriller,4.0,35.0,70.0,8.8,3.4,0.13
435,Khaidi No.150,Thriller,70.0,90.0,65.0,5.8,10,164.0
436,Drushyam 2,Thriller,20.0,80.0,83.0,8.1,17,60.0
437,Awe!,Thriller,5.0,85.0,90.0,7.6,1,8.0
438,Bujji Ila Raa,Thriller,3.0,50.0,50.0,6.6,2,2.0
439,Godse,Thriller,20.0,50.0,60.0,5.7,4.6,4.0
440,Naandhi,Thriller,15.0,75.0,85.0,7.8,5.3,9.5
441,Aranya,Thriller,45.0,40.0,70.0,7.5,13,25.0
442,Amigos,Thriller,60.0,45.0,35.0,6.0,13,11.75
443,Mishan Impossible,Thriller,25.0,60.0,30.0,6.4,9,6.0
444,Aswathama,Thriller,25.0,65.0,20.0,6.4,7.5,4.83
445,Arjuna Phalguna,Thriller,20.0,40.0,70.0,4.8,5.5,3.0
446,Valmiki,Thriller,30.0,75.5,75.0,6.2,1.5,35.0
447,Chanakya,Thriller,50.0,40.3,35.0,5.4,6.8,40.0
448,Spyder,Thriller,100.0,60.7,75.0,6.3,15,160.0
449,Ichata Vahanumulu Niluparadu,Thriller,15.0,54.2,50.0,5.7,3.3,2.0
450,KA,Thriller,22.0,65.8,55.0,7.2,9.8,2.0
451,Matka,Thriller,40.0,35.9,75.0,4.7,8.8,2.0
452,Check,Thriller,25.0,45.0,62.0,6.4,3.1,30.0
453,Dorakuna Ituvanti Seva,Thriller,20.0,40.2,0.0,8.3,0.126,2.0
454,Kali,Thriller,15.0,42.3,83.0,7.2,1.9,2.0
455,Masooda,Thriller,10.0,65.7,50.0,7.2,5.1,6.0
456,Hunt,Thriller,20.0,50.4,55.0,5.4,6.8,2.0
457,Appudu Ippudo Eppudo,Thriller,15.0,35.2,41.0,4.7,3.5,2.0
458,Kavacham,Thriller,25.0,45.6,35.0,5.5,2.2,35.0
459,Lie,Thriller,40.0,48.9,60.0,5.8,4.7,55.0
460,Spark L.I.F.E,Thriller,5.0,40.7,50.0,7.3,11,2.0
461,Nannaku Prematho,Thriller,50.0,82.4,51.72,7.5,7.5,95.0
462,118,Thriller,20.0,60.3,35.0,6.4,0.891,30.0
463,Saakshyam,Thriller,30.0,50.0,45.0,4.6,9,45.0
464,Black Rose,Thriller,2.0,38.2,50.0,4.0,0.261,1.0
465,Maya,Thriller,10.0,66.0,76.0,43.0,3.9,1.0
466,Anthima Theerpu,Thriller,1.15,42.7,50.0,8.1,0.677,2.0
467,Kshanam,Thriller,15.0,75.3,70.0,8.1,1.7,7.0
468,Ninu Veedani Needanu Nene,Thriller,15.0,55.4,50.0,5.8,3.8,3.0
469,Satyabhama,Thriller,15.0,48.3,70.0,5.9,3.5,2.55
470,Tiger Nagheswar Rao,Thriller,60.0,60.8,75.0,6.2,16,40.0
471,U-Turn,Thriller,10.0,68.9,65.0,6.0,6.1,12.0
472,Karthikeya 2,Thriller,50.0,80.2,41.0,6.9,13,135.0
473,The story of a beautiful girl,Thriller,1.0,39.8,50.0,4.9,1.7,1.0
474,Case 30,Thriller,1.4,41.2,50.0,7.1,1,1.5
475,Subrahmanyapuram,Thriller,15.0,55.7,60.0,5.4,2,5.75
476,1:Nenokkadine,Thriller,60.0,70.5,75.0,7.9,0.703,55.0
477,Rakshasudu,Thriller,20.0,65.1,65.0,7.9,2.3,17.1
478,Neevevaro,Thriller,4.2,58.4,60.0,6.8,2,12.0
479,Veekshanam,Thriller,15.0,50.0,50.0,8.0,1,1.5
480,Kota Bommali PS,Thriller,0.44,60.6,60.0,7.2,0.245,2.0
481,Vakeel Saab,Thriller,70.0,78.9,35.0,6.9,49,135.0
482,Arjun Suravaram,Thriller,10.0,62.7,41.0,6.6,4.5,21.0
483,Kerosene,Thriller,3.0,45.1,50.0,7.4,0.237,1.75
484,The Great Indian Suicide,Thriller,5.0,40.9,55.0,5.8,0.224,2.0
485,Raagala 24 Gantallo,Thriller,15.0,50.2,60.0,5.2,0.81,2.0
486,Jawaan,Thriller,18.0,55.8,65.0,4.7,76,1148.0
487,Devil-The British Secret Agent,Thriller,80.0,58.6,60.0,6.5,16,22.9
488,Bholaa Shankar,Thriller,101.0,50.5,65.0,3.3,20,47.5
489,Raju Gari Gadhi 3,Thriller,10.0,45.9,55.0,5.5,6.1,20.71
490,Kalki,Thriller,600.0,65.3,50.0,6.8,31,18.0
491,Mukhachitram,Thriller,5.0,52.4,50.0,6.4,0.691,0.5
492,Viswam,Thriller,24.0,47.8,55.0,4.2,0.88,18.96
493,G-Zombie,Thriller,0.0025,40.3,50.0,4.5,1.2,4.5
494,Butterfly,Thriller,15.0,54.7,54.0,4.6,8.2,12.0
495,Jai Lava Kusa,Thriller,45.0,75.6,51.72,6.8,27,175.0
496,Custody,Thriller,30.0,58.2,60.0,5.7,17,11.0
497,Shivangi Lioness,Thriller,4.0,42.6,50.0,7.8,0.741,1.0
498,Maa Oori Polimera,Thriller,6.0,60.5,60.0,7.2,1,1.1
499,Drushyam,Thriller,6.0,70.8,83.0,8.2,0.732,20.0
500,Gentleman,Thriller,15.0,68.4,80.0,7.1,2.8,32.6
501,Dongalunnaru Jagratta,Thriller,2.5,45.0,55.0,5.1,0.431,20.5
502,Amma Rajyamlo Kadapa Biddalu,Thriller,1.0,30.0,50.0,3.2,9,4.82
503,Karthiekya,Thriller,6.0,75.0,41.0,7.2,1,20.0
504,Bluff Master,Thriller,10.0,55.5,60.0,6.3,0.62,32.71
505,Nene Naa,Thriller,9.0,50.0,55.0,3.9,2,0.035
506,C/o Kancharapalem,Drama,0.77,70.0,90.0,9.5,17,3.0
507,Billa,Drama,120.0,75.0,80.0,4.3,0.6,10.0
508,Vachindamma,Drama,5.0,75.0,80.0,8.2,12,8.0
509,Pelli Sandadi 2,Drama,1.25,60.0,65.0,8.3,1,5.0
510,Prathi Roju Pandage,Drama,25.0,85.0,85.0,8.1,20,45.0
511,Manasunna Reddy,Drama,0.8,60.0,65.0,8.5,1,7.0
512,Kshana Kshanam 2,Drama,1.4,70.0,70.0,7.9,2,10.0
513,Ala Vaikunthapurramuloo,Drama,100.0,90.0,95.0,8.3,90,150.0
514,Kshana Kshanam Reloaded,Drama,1.0,65.0,70.0,8.2,1,7.0
515,Pelli Sandadi 3,Drama,1.25,60.0,65.0,8.0,0.5,5.0
516,Toli Prema Reloaded,Drama,7.0,70.0,80.0,7.9,4,20.0
517,Unbeaten Geniuses,Drama,12.0,65.0,70.0,8.5,1,5.0
518,Pelli Sandadi Revisited,Drama,3.0,60.0,65.0,5.1,0.5,3.0
519,Dhanak,Drama,2.0,80.0,75.0,7.9,2.5,10.0
520,Kshana Kshanam 3,Drama,3.5,65.0,70.0,8.1,1,7.0
521,Kshana Kshanam Returns,Drama,4.0,65.0,70.0,7.9,1,6.0
522,Chitram 2,Drama,6.0,70.0,70.0,8.0,2,7.0
523,Kshana Kshanam 4,Drama,5.0,60.0,65.0,7.8,0.78,6.0
524,Gamyam 2,Drama,50.0,70.0,75.0,8.1,1,10.0
525,Rocky aur Rani ki Prem Kahani,Drama,160.0,85.0,90.0,6.5,80,355.0
526,Gangubai Kathiawadi,Drama,180.0,90.0,90.0,7.8,65,220.0
527,The Kashmir Files,Drama,25.0,85.0,85.0,8.5,40,300.0
528,The White Tiger,Drama,25.0,80.0,85.0,7.1,20,0.0
529,Thappad,Drama,20.0,85.0,90.0,7.0,15,44.0
530,Uri : The Surgical Strike,Drama,25.0,95.0,95.0,8.2,70,342.0
531,Aa Naluguru,Drama,1.5,70.0,60.0,8.6,0.002,3.0
532,Aditya's Journey,Drama,13.0,85.0,70.0,8.2,9.2,90.0
533,Baahubali 2: The Conclusion,Drama,250.0,90.0,85.0,8.2,105,1810.0
534,Bhale Bhale Magadivoy,Drama,7.0,100.0,80.0,8.0,6.7,55.0
535,Chinnadana Neekosam,Drama,12.0,60.0,65.0,8.0,1.9,15.0
536,Chitram,Drama,0.8,100.0,50.0,8.7,0.18,6.0
537,Chupultho,Drama,1.5,70.0,80.0,8.2,0.08,20.0
538,Ee Nagaraniki Emaindi,Drama,2.5,100.0,70.0,8.1,1.8,8.0
539,Jersey,Drama,25.0,80.0,70.0,8.5,"12,5",48.0
540,Kalyana Vaibhogame,Drama,4.0,70.0,65.0,7.8,1.5,8.0
541,Karthikeya,Drama,5.0,100.0,70.0,7.8,2.1,20.0
542,Love Story,Drama,30.0,85.0,75.0,8.2,10.5,60.0
543,Mahanati,Drama,25.0,100.0,75.0,8.4,10.3,83.0
544,Malleswari,Drama,8.0,70.0,75.0,8.4,0.45,20.0
545,Manam,Drama,28.0,80.0,85.0,8.4,0.45,62.0
546,NTR Kathanayakudu,Drama,50.0,75.0,80.0,8.4,3.2,20.0
547,Nuvvu Naaku Nachchav,Drama,6.0,75.0,80.0,8.8,0.47,20.0
548,Okka Kshanam,Drama,10.0,60.0,65.0,7.8,1.9,5.0
549,Pelli Sandadi,Drama,2.0,80.0,75.0,8.0,11,15.0
550,Prema Katha Chitram,Drama,2.0,75.0,70.0,8.0,2.8,20.0
551,Prema Katha Chitram 2,Drama,3.0,50.0,50.0,8.1,1.3,5.0
552,Raghavendra,Drama,8.0,60.0,70.0,8.5,0.035,12.0
553,Raja Rani,Drama,15.0,100.0,80.0,8.1,5.6,50.0
554,Rajanna,Drama,20.0,60.0,70.0,8.1,2.3,8.0
555,Rangasthalam,Drama,60.0,90.0,85.0,8.4,12.7,216.0
556,Samudram,Drama,6.0,70.0,60.0,8.3,0.34,10.0
557,Sarileru Neekevvaru,Drama,75.0,85.0,90.0,7.9,25.3,260.0
558,Seethamma Vakitlo Sirimalle Chettu,Drama,50.0,75.0,80.0,8.4,3.8,51.0
559,Sye,Drama,10.0,80.0,75.0,7.9,0.006,22.0
560,Loveyapa,Drama,30.0,37.5,25.0,5.4,0.447,7.69
