S.no,Movie Title,Genre,Budget (Cr),Director Success Rate,Lead Actor Success Rate,IMDb,Trailer Views (M),Box Office Revenue
80,Tu Jhoothi Main Makkaar,Romance,200.0,60.0,60.0,6.0,77,210.0
81,Haseen Dillruba,Romance,3.9,50.0,35.0,6.9,2.5,4.14
82,The Archies,Romance,45.0,60.0,10.0,4.2,3.2,22.0
83,Kho Gaye Hum Kahan,Romance,15.0,100.0,40.0,7.3,0.369,18.0
84,Zero,Romance,200.0,50.0,45.0,5.2,125,191.43
85,Wild Wild Punjab,Romance,16.0,60.0,36.0,6.2,34,72.0
86,Shubh Mangal Zyada Saavdhan,Romance,30.0,100.0,70.0,5.8,59,87.0
87,Gehraiyaan,Romance,80.0,66.0,50.0,5.8,45,140.0
88,Meenakshi Sundareshwar,Romance,4.0,50.0,60.0,6.7,8.6,1.0
89,Satyaprem Ki Katha,Romance,60.0,80.0,50.0,6.7,42,117.77
90,Dream Girl 2,Romance,35.0,67.0,70.0,5.2,43,140.56
91,Phir Aayi Hasseen Dillruba,Romance,82.0,100.0,35.0,5.8,36,458.69
92,Govinda Naam Mera,Romance,70.0,100.0,40.0,6.5,9.1,62.0
93,"Love, Sitara",Romance,7.0,50.0,20.0,5.3,0.231,8.5
94,Jug Jugg Jeeyo,Romance,85.0,66.0,72.0,6.1,45,85.03
95,Love Aaj Kal,Romance,50.0,50.0,50.0,4.7,50,52.6
96,Tiku Weds Sheru,Romance,4.5,20.0,70.0,3.4,23,3.4
97,Starfish,Romance,12.0,50.0,0.0,4.4,13,24.0
98,Love Hostel,Romance,20.0,25.0,60.0,5.7,1.4,10.0
99,Khaali Peeli,Romance,20.0,45.0,40.0,2.5,8,52.38
100,Janhit Mein Jaari,Romance,6.0,50.0,60.0,6.8,18,5.98
101,Hungama 2,Romance,20.0,24.0,60.0,3.2,4.7,147.68
102,Bunty Aur Babli 2,Romance,45.0,100.0,50.0,4.1,25,22.12
103,Plan A Plan B,Romance,8.0,50.0,60.0,4.6,22,10.17
104,Dhadak,Romance,41.0,100.0,55.0,4.6,20,95.12
105,Laila Majnu,Romance,1.7,50.0,50.0,7.7,19,2.18
106,Kalank,Romance,150.0,33.33,72.0,3.7,38,145.0
107,Housefull 4,Romance,189.0,75.0,52.0,3.6,126,197.68
108,Gully Boy,Romance,65.0,60.0,56.25,7.9,64,238.16
