s.no,movie_title,genre,budget_cr,director_success_rate,lead_actor_success_rate,imdb,trailer_views_m,box_office_revenue,revenue_status,director_success_status,actor_success_status,profit_cr,roi_percent,hit_flop
218,Michael,Action,14.5,50,60,5,12,12,Available,Recorded Success,Recorded Success,-2.5,-17.24137931,Flop
219,Son of india,Action,400,0,64,3.2,2.1,0.17,Available,No Recorded Success,Recorded Success,-399.83,-99.9575,Flop
220,Operation valentine,Action,45,0,87.5,4.3,7.2,20,Available,No Recorded Success,Recorded Success,-25,-55.55555556,Flop
221,Saaho,Action,325,50,45.45,5.1,58,429,Available,Recorded Success,Recorded Success,104,32,Hit
222,Goodachari,Action,6,100,80,8.5,3.5,45,Available,Recorded Success,Recorded Success,39,650,Hit
223,V,Action,25,60,65,6.8,10,50,Available,Recorded Success,Recorded Success,25,100,Hit
224,Wailtar veerayaa,Action,140,50,65,6.2,2.7,25,Available,Recorded Success,Recorded Success,-115,-82.14285714,Flop
225,Dhruva,Action,50,66,57.14,7.7,5,120,Available,Recorded Success,Recorded Success,70,140,Hit
226,Ganga of godavari,Action,11,50,53.3,5,7.8,20.8,Available,Recorded Success,Recorded Success,9.8,89.09090909,Hit
227,Na saami ranga,Action,45,0,65,4.5,6.7,30.5,Available,No Recorded Success,Recorded Success,-14.5,-32.22222222,Flop
228,Sye ra narashima reddy,Action,200,50,65,7.5,12,240,Available,Recorded Success,Recorded Success,40,20,Hit
229,Savyasachi,Action,24,50,65.4,4.1,3,60,Available,Recorded Success,Recorded Success,36,150,Hit
230,Chhaava,Action,130,100,40,7.3,78,750,Available,Recorded Success,Recorded Success,620,476.9230769,Hit
231,Deva,Action,50,0,43,6.7,37,30,Available,No Recorded Success,Recorded Success,-20,-40,Flop
232,Dangal,Action,70,100,85,8.3,100,1996,Available,Recorded Success,Recorded Success,1926,2751.428571,Hit
233,Animal,Action,100,100,70,6.1,113,550,Available,Recorded Success,Recorded Success,450,450,Hit
234,Kesari,Action,80,100,75,7.4,10,65.45,Available,Recorded Success,Recorded Success,-14.55,-18.1875,Flop
235,Hotel Mumbai,Action,1.73,100,60,7.6,5,2.13,Available,Recorded Success,Recorded Success,0.4,23.12138728,Hit
236,Gangs of Wasseypur,Action,18.4,75,85,8.2,5,4.3,Available,Recorded Success,Recorded Success,-14.1,-76.63043478,Flop
237,Fighter,Action,250,100,80,6.2,45,344,Available,Recorded Success,Recorded Success,94,37.6,Hit
238,Baby John,Action,160,100,72,5.2,71,180,Available,Recorded Success,Recorded Success,20,12.5,Hit
239,Jawan,Action,300,100,90,6.9,45,1159,Available,Recorded Success,Recorded Success,859,286.3333333,Hit
240,Shershaah,Action,75,100,60,8.3,10,100,Available,Recorded Success,Recorded Success,25,33.33333333,Hit
241,Jigra,Action,85,0,83.3,6,57,15,Available,No Recorded Success,Recorded Success,-70,-82.35294118,Flop
242,Dunki,Action,120,100,90,6.5,80,470.6,Available,Recorded Success,Recorded Success,350.6,292.1666667,Hit
243,Haider,Action,35,100,80,8,3,85,Available,Recorded Success,Recorded Success,50,142.8571429,Hit
244,Sikandar Ka Muqaddar,Action,1,75,75,6,47,17,Available,Recorded Success,Recorded Success,16,1600,Hit
245,Pathaan,Action,250,100,90,5.8,10,1052.5,Available,Recorded Success,Recorded Success,802.5,321,Hit
246,Uri: The Surgical Strike,Action,44,100,80,8.2,13,342.73,Available,Recorded Success,Recorded Success,298.73,678.9318182,Hit
247,Article 370,Action,20,50,72.5,7.8,32,8,Available,Recorded Success,Recorded Success,-12,-60,Flop
248,Brahmastra Part One: Shiva,Action,410,100,70,5.6,10,430.77,Available,Recorded Success,Recorded Success,20.77,5.065853659,Hit
249,Shehzada,Action,85,50,60,4.5,75,47,Available,Recorded Success,Recorded Success,-38,-44.70588235,Flop
250,War,Action,170,100,80,6.6,10,475,Available,Recorded Success,Recorded Success,305,179.4117647,Hit
251,Tiger 3,Action,300,75,85,5.7,82,466.63,Available,Recorded Success,Recorded Success,166.63,55.54333333,Hit
252,Tiger Zinda Hai,Action,130,100,85,5.9,29,565,Available,Recorded Success,Recorded Success,435,334.6153846,Hit
253,Bade Miyan Chote Miyan,Action,350,100,75,3.7,55,28.84,Available,Recorded Success,Recorded Success,-321.16,-91.76,Flop
254,Ek Tha Tiger,Action,75,100,85,5.7,5,320,Available,Recorded Success,Recorded Success,245,326.6666667,Hit
255,Bang Bang,Action,140,100,80,5.7,0.176,340,Available,Recorded Success,Recorded Success,200,142.8571429,Hit
256,Ram Setu,Action,150,50,75,5.3,42,185,Available,Recorded Success,Recorded Success,35,23.33333333,Hit
257,Baadshaho,Action,90,50,80,4.9,20,150,Available,Recorded Success,Recorded Success,60,66.66666667,Hit
258,Dhoom 2,Action,3.5,100,80,6.6,2.6,370,Available,Recorded Success,Recorded Success,366.5,10471.42857,Hit
259,Dhoom 3,Action,100,75,85,5.4,37,550,Available,Recorded Success,Recorded Success,450,450,Hit
260,Yodha,Action,55,75,60,5.7,38,85,Available,Recorded Success,Recorded Success,30,54.54545455,Hit
261,Kisi Ka Bhai Kisi Ki Jaan,Action,125,50,85,4,57,185,Available,Recorded Success,Recorded Success,60,48,Hit
262,A Flying Jatt,Action,45,50,50,3.1,41,75,Available,Recorded Success,Recorded Success,30,66.66666667,Hit
263,Shamshera,Action,150,50,70,4.7,108,85,Available,Recorded Success,Recorded Success,-65,-43.33333333,Flop
264,Sherni,Action,0.25,100,80,6.8,21,25,Available,Recorded Success,Recorded Success,24.75,9900,Hit
265,Junglee,Action,22,50,60,5.5,44,100,Available,Recorded Success,Recorded Success,78,354.5454545,Hit
266,Housefull 2,Action,75,75,75,5.4,2.7,200,Available,Recorded Success,Recorded Success,125,166.6666667,Hit
267,Khufiya,Action,37.5,100,82.5,6.1,41,10,Available,Recorded Success,Recorded Success,-27.5,-73.33333333,Flop
268,Chandu Champion,Action,105,100,60,7.8,47,5,Available,Recorded Success,Recorded Success,-100,-95.23809524,Flop
269,Raazi,Action,30,100,90,7.7,33,197,Available,Recorded Success,Recorded Success,167,556.6666667,Hit
270,Happy New Year,Action,150,75,80,5,9.7,342,Available,Recorded Success,Recorded Success,192,128,Hit
271,Agni,Action,40,50,82.5,7.2,15,50,Available,Recorded Success,Recorded Success,10,25,Hit
272,An Action Hero,Action,45,50,80,7,29,16.24,Available,Recorded Success,Recorded Success,-28.76,-63.91111111,Flop
273,Ludo,Action,35,100,75,7.6,9.4,100,Available,Recorded Success,Recorded Success,65,185.7142857,Hit
274,Vikram Vedha,Action,100,100,80,7.1,61,135.03,Available,Recorded Success,Recorded Success,35.03,35.03,Hit
275,Sankrathiki Vasthunam,Comedy,50,75,83,6.3,21,260,Available,Recorded Success,Recorded Success,210,420,Hit
276,14 Days,Comedy,2,30,20,9,1.2,0.5,Available,Recorded Success,Recorded Success,-1.5,-75,Flop
277,Srikakulam Sherlockhomes,Comedy,10.7,20,70,8.3,2.9,3,Available,Recorded Success,Recorded Success,-7.7,-71.96261682,Flop
278,Mazaka,Comedy,30,62.5,60,6,1.4,12,Available,Recorded Success,Recorded Success,-18,-60,Flop
279,Manamey,Comedy,20,40,75,9.2,7,17,Available,Recorded Success,Recorded Success,-3,-15,Flop
280,Ala vaikuntapuramloo,Comedy,100,80,90,7.3,36,280,Available,Recorded Success,Recorded Success,180,180,Hit
281,Laila,Comedy,18,73.3,30,2.6,8,10,Available,Recorded Success,Recorded Success,-8,-44.44444444,Flop
282,Eega,Comedy,35,100,95,7.7,0.37,130,Available,Recorded Success,Recorded Success,95,271.4285714,Hit
283,Sarileru Neekevaru,Comedy,75,75,75,5.8,45,207,Available,Recorded Success,Recorded Success,132,176,Hit
284,SVSC,Comedy,40,40,83,7.5,0.44,51,Available,Recorded Success,Recorded Success,11,27.5,Hit
285,Geetha govindam,Comedy,5,30,60,7.7,12,70,Available,Recorded Success,Recorded Success,65,1300,Hit
286,Tillu Sqaure,Comedy,40,80,70,6.6,15,125,Available,Recorded Success,Recorded Success,85,212.5,Hit
287,Kushi,Comedy,70,71.4,95,5.4,21,180,Available,Recorded Success,Recorded Success,110,157.1428571,Hit
288,Om Bheem Bush,Comedy,20,50,70,5.6,5.6,17,Available,Recorded Success,Recorded Success,-3,-15,Flop
289,Mathu vadalara,Comedy,2,66.5,70,8.2,3,10,Available,Recorded Success,Recorded Success,8,400,Hit
290,Alludu Seenu,Comedy,35,70.5,30,4.6,0.54,15.6,Available,Recorded Success,Recorded Success,-19.4,-55.42857143,Flop
291,Kick,Comedy,15,60,80,7.9,0.22,36,Available,Recorded Success,Recorded Success,21,140,Hit
292,Oh Baby,Comedy,30,50,95,7.3,9,38,Available,Recorded Success,Recorded Success,8,26.66666667,Hit
293,Brundavanam,Comedy,28,80,90,7.1,0.61,35,Available,Recorded Success,Recorded Success,7,25,Hit
294,Don seenu,Comedy,30,85.7,85,6,0.34,90,Available,Recorded Success,Recorded Success,60,200,Hit
295,Ori devuda,Comedy,15,96,30,7.1,0.88,10,Available,Recorded Success,Recorded Success,-5,-33.33333333,Flop
296,Rangabali,Comedy,12,30,45,5,5.9,16,Available,Recorded Success,Recorded Success,4,33.33333333,Hit
297,bomarillu,Comedy,6,44.5,60,8.2,0.63,32,Available,Recorded Success,Recorded Success,26,433.3333333,Hit
298,Attarintiki daredi,Comedy,55,80,95,7.3,0.25,187,Available,Recorded Success,Recorded Success,132,240,Hit
299,darling,Comedy,6.5,90,90,7.4,0.2,4.75,Available,Recorded Success,Recorded Success,-1.75,-26.92307692,Flop
300,dhamaka,Comedy,35,62.5,80,6.2,3.8,110,Available,Recorded Success,Recorded Success,75,214.2857143,Hit
301,krishnarjuna yuddham,Comedy,20,40,95,5.8,6.9,38,Available,Recorded Success,Recorded Success,18,90,Hit
302,bro,Comedy,20,60,60,6,37,115,Available,Recorded Success,Recorded Success,95,475,Hit
303,devadas,Comedy,18,50,95,6.5,7,90,Available,Recorded Success,Recorded Success,72,400,Hit
304,krishna and his leela,Comedy,3,80,70,5.8,0.71,12,Available,Recorded Success,Recorded Success,9,300,Hit
305,nenu local,Comedy,16,62.5,95,6.4,4.4,58,Available,Recorded Success,Recorded Success,42,262.5,Hit
306,Aadavallu miku joharalu,Comedy,33,75,75,5.8,9.5,35.5,Available,Recorded Success,Recorded Success,2.5,7.575757576,Hit
307,Jathi ratnalu,Comedy,6,33.3,60,7.3,22,70,Available,Recorded Success,Recorded Success,64,1066.666667,Hit
308,samajavaragamana,Comedy,5,33.3,70,7.5,3.7,30,Available,Recorded Success,Recorded Success,25,500,Hit
309,maryada ramanna,Comedy,14,100,80,7.5,0.14,28.5,Available,Recorded Success,Recorded Success,14.5,103.5714286,Hit
310,Malliswari,Comedy,10,42.8,83,7.8,0.45,30,Available,Recorded Success,Recorded Success,20,200,Hit
311,Ante sundharaniki,Comedy,30,75,95,8,20,30,Available,Recorded Success,Recorded Success,0,0,Flop
312,Aadavari matalaku ardalu verule,Comedy,3,40.6,83,7.6,0.35,10,Available,Recorded Success,Recorded Success,7,233.3333333,Hit
313,Pilla zamindar,Comedy,7,70,80,7.7,20,50,Available,Recorded Success,Recorded Success,43,614.2857143,Hit
314,Kandeerga,Comedy,15,60,60,6.2,0.6,22,Available,Recorded Success,Recorded Success,7,46.66666667,Hit
315,Soggade chinni nayana,Comedy,20,85,90,6.3,1.5,82,Available,Recorded Success,Recorded Success,62,310,Hit
316,Agent sai srinivasa athreya,Comedy,1.5,75,90,8.3,5,15,Available,Recorded Success,Recorded Success,13.5,900,Hit
317,Ashta chamma,Comedy,1.6,70,70,7.4,0.6,7,Available,Recorded Success,Recorded Success,5.4,337.5,Hit
318,MAD,Comedy,8,60,60,7.5,10,26,Available,Recorded Success,Recorded Success,18,225,Hit
319,Jalsa,Comedy,25,90,90,7.4,2,47.55,Available,Recorded Success,Recorded Success,22.55,90.2,Hit
320,Manmadhudu,Comedy,5,85,90,4.8,0.237,30,Available,Recorded Success,Recorded Success,25,500,Hit
321,Shankar dada MBBS,Comedy,15,50,90,7.6,0.434,20,Available,Recorded Success,Recorded Success,5,33.33333333,Hit
322,Ginna,Comedy,25,85,50,3,7.3,2,Available,Recorded Success,Recorded Success,-23,-92,Flop
323,Gopala gopala,Comedy,12,90,90,7.2,0.574,88.1,Available,Recorded Success,Recorded Success,76.1,634.1666667,Hit
324,Oopiri,Comedy,21,75,90,8,3,30,Available,Recorded Success,Recorded Success,9,42.85714286,Hit
325,Pelli choopulu,Comedy,1.2,75,60,8.5,0.794,30,Available,Recorded Success,Recorded Success,28.8,2400,Hit
326,Mem famous,Comedy,3,30,20,7.1,1.7,3.9,Available,Recorded Success,Recorded Success,0.9,30,Hit
327,Orange,Comedy,32,44.5,57.14,6.7,0.223,3.36,Available,Recorded Success,Recorded Success,-28.64,-89.5,Flop
328,Krishana gadi veera prema kadha,Comedy,14,66.66,95,7.4,0.53,10.86,Available,Recorded Success,Recorded Success,-3.14,-22.42857143,Flop
329,Chalo,Comedy,3,30,40.17,6.3,0.916,16,Available,Recorded Success,Recorded Success,13,433.3333333,Hit
330,F3,Comedy,60,75,83,4.7,5.7,134,Available,Recorded Success,Recorded Success,74,123.3333333,Hit
331,Doctor,Comedy,40,42.8,75,7.4,3.5,90,Available,Recorded Success,Recorded Success,50,125,Hit
332,Varsham,Comedy,10,62.5,73.33,7.3,0.26,32,Available,Recorded Success,Recorded Success,22,220,Hit
333,Premam,Comedy,20,30,40.17,6.4,3.2,60,Available,Recorded Success,Recorded Success,40,200,Hit
334,Fidaa,Comedy,13,75,50,7.4,12,91,Available,Recorded Success,Recorded Success,78,600,Hit
335,Middle class melodies,Comedy,2,75,40,7.5,0.204,51,Available,Recorded Success,Recorded Success,49,2450,Hit
336,Duvvada jaganadham,Comedy,50,60,90,6,22,125,Available,Recorded Success,Recorded Success,75,150,Hit
337,Badri,Comedy,20,61.1,60,7.3,0.11,18,Available,Recorded Success,Recorded Success,-2,-10,Flop
338,Race gurram,Comedy,52,60,90,7.3,0.112,101.3,Available,Recorded Success,Recorded Success,49.3,94.80769231,Hit
339,Gam gam ganesha,Comedy,4,0,40,5.3,3.4,6.05,Available,No Recorded Success,Recorded Success,2.05,51.25,Hit
340,Gang leader,Comedy,40,25,95,7.6,7,45.8,Available,Recorded Success,Recorded Success,5.8,14.5,Hit
341,Supreme,Comedy,20,75,42.85,6.1,1.2,20,Available,Recorded Success,Recorded Success,0,0,Flop
342,Keeda cola,Comedy,2,75,30,7.4,6.6,16,Available,Recorded Success,Recorded Success,14,700,Hit
343,Daruvu,Comedy,20,60.7,85,5.3,0.3,20,Available,Recorded Success,Recorded Success,0,0,Flop
344,Das ka dhamki,Comedy,8.59,100,30,6.1,8.2,22.8,Available,Recorded Success,Recorded Success,14.21,165.4249127,Hit
345,Happy,Comedy,2,90,90,7.1,1.6,18,Available,Recorded Success,Recorded Success,16,800,Hit
346,Mirapakay,Comedy,1.5,60,85,6.3,0.218,17.02,Available,Recorded Success,Recorded Success,15.52,1034.666667,Hit
347,Size zero,Comedy,25,28.5,70,5.5,7.5,9.5,Available,Recorded Success,Recorded Success,-15.5,-62,Flop
348,Kirrak party,Comedy,10,50,33.33,7,3.2,11,Available,Recorded Success,Recorded Success,1,10,Hit
349,Aay,Comedy,8,75,33.33,6.4,3.1,14.09,Available,Recorded Success,Recorded Success,6.09,76.125,Hit
350,King,Comedy,20,70,90,6.5,0.45,100,Available,Recorded Success,Recorded Success,80,400,Hit
351,Sailja reddy alludu,Comedy,15,60,40.17,5,8.3,26.5,Available,Recorded Success,Recorded Success,11.5,76.66666667,Hit
352,Venkatadri express,Comedy,10,40,60,7.5,0.329,13.5,Available,Recorded Success,Recorded Success,3.5,35,Hit
353,Raja raja chor,Comedy,2.2,20,70,7.5,0.38,11.15,Available,Recorded Success,Recorded Success,8.95,406.8181818,Hit
354,Hushaaru,Comedy,1,66.66,30,6.7,1.2,5,Available,Recorded Success,Recorded Success,4,400,Hit
355,ABCD,Comedy,4.5,25,10,5.5,7,12.5,Available,Recorded Success,Recorded Success,8,177.7777778,Hit
356,Rang de,Comedy,30,80,65,6.3,16,24,Available,Recorded Success,Recorded Success,-6,-20,Flop
357,Dubai seenu,Comedy,9,50,85,6.5,0.32,15.89,Available,Recorded Success,Recorded Success,6.89,76.55555556,Hit
358,PellisandaD,Comedy,1.25,70,10,2.9,11,12,Available,Recorded Success,Recorded Success,10.75,860,Hit
359,Khaleja,Comedy,32,80,75,7.6,0.85,20.02,Available,Recorded Success,Recorded Success,-11.98,-37.4375,Flop
360,F2,Comedy,30,75,83,6.1,14,100,Available,Recorded Success,Recorded Success,70,233.3333333,Hit
361,Ready,Comedy,8,70,33,7.2,0.16,17,Available,Recorded Success,Recorded Success,9,112.5,Hit
362,Run raaja run,Comedy,4,20,65,7.3,0.574,20,Available,Recorded Success,Recorded Success,16,400,Hit
363,Kalyana vibhogame,Comedy,1,50,35.2,7.5,0.676,1.53,Available,Recorded Success,Recorded Success,0.53,53,Hit
364,Babu bangaram,Comedy,20,60,83,5,0.953,80,Available,Recorded Success,Recorded Success,60,300,Hit
365,Loukhyam,Comedy,12,44.44,73.33,8,0.65,50,Available,Recorded Success,Recorded Success,38,316.6666667,Hit
366,Krishna vrinda vihari,Comedy,8.9,50,35.2,5.8,0.987,8.9,Available,Recorded Success,Recorded Success,0,0,Flop
367,Bruce Lee,Comedy,5,70,57.14,8,0.451,30,Available,Recorded Success,Recorded Success,25,500,Hit
368,Oka laila kosam,Comedy,20,33.33,40.17,6,0.83,40,Available,Recorded Success,Recorded Success,20,100,Hit
369,Writer padmabhusam,Comedy,3,100,75,7.5,0.178,10.34,Available,Recorded Success,Recorded Success,7.34,244.6666667,Hit
370,Dhee,Comedy,5,70,20,7.2,11,12,Available,Recorded Success,Recorded Success,7,140,Hit
371,Raju gari gadhi,Comedy,2,60,33.33,5.1,0.53,50,Available,Recorded Success,Recorded Success,48,2400,Hit
372,Paagal,Comedy,7,0,30,5.6,7.7,6,Available,No Recorded Success,Recorded Success,-1,-14.28571429,Flop
373,Anubavinchu raaja,Comedy,8,66,40,5.4,6.1,4.95,Available,Recorded Success,Recorded Success,-3.05,-38.125,Flop
374,Body guard,Comedy,20,50,83,5,0.12,21.3,Available,Recorded Success,Recorded Success,1.3,6.5,Hit
375,Sundaram master,Comedy,1.5,0,70,7,3,55,Available,No Recorded Success,Recorded Success,53.5,3566.666667,Hit
376,Seema tapakai,Comedy,4,60,65,7.3,3.4,2.06,Available,Recorded Success,Recorded Success,-1.94,-48.5,Flop
377,Pareshan,Comedy,1.15,50,33,5.7,1.3,12,Available,Recorded Success,Recorded Success,10.85,943.4782609,Hit
378,Sudigaadu,Comedy,3.5,60,65,6.1,0.306,22,Available,Recorded Success,Recorded Success,18.5,528.5714286,Hit
379,Like share and subscribe,Comedy,2,40,23,5.2,2,1.34,Available,Recorded Success,Recorded Success,-0.66,-33,Flop
380,Gaali sampath,Comedy,20,50,70,6.5,0.145,0.8,Available,Recorded Success,Recorded Success,-19.2,-96,Flop
381,BomBhaat,Comedy,10,0,65,5.6,1.4,1,Available,No Recorded Success,Recorded Success,-9,-90,Flop
382,Kithakithalu,Comedy,1.5,80,70,6,57,8,Available,Recorded Success,Recorded Success,6.5,433.3333333,Hit
383,Pressure cooker,Comedy,4.4,0,41.67,6.3,0.152,0.6,Available,No Recorded Success,Recorded Success,-3.8,-86.36363636,Flop
384,Bheeshma,Comedy,25,30,65,6.6,14,50,Available,Recorded Success,Recorded Success,25,100,Hit
385,Naani,Comedy,14,62.5,75,5.2,0.823,71.65,Available,Recorded Success,Recorded Success,57.65,411.7857143,Hit
386,Tenali ramakrishna BA. BL,Comedy,8,25,60,4.9,3.7,10,Available,Recorded Success,Recorded Success,2,25,Hit
387,Jyo Achyutananda,Comedy,1.2,40,35.2,6.1,1.1,7,Available,Recorded Success,Recorded Success,5.8,483.3333333,Hit
388,Mahanubhavudu,Comedy,12,60,65,6.4,4.5,36,Available,Recorded Success,Recorded Success,24,200,Hit
389,Happy birthday,Comedy,6,33.33,40.5,5.6,1.1,3,Available,Recorded Success,Recorded Success,-3,-50,Flop
390,Poola Rangadu,Comedy,2,25,80,5.6,0.138,8,Available,Recorded Success,Recorded Success,6,300,Hit
391,Sudigadu,Comedy,1,25,75,6.1,0.442,14,Available,Recorded Success,Recorded Success,13,1300,Hit
392,Robinhood,Comedy,60,30,65,4.5,15,15,Available,Recorded Success,Recorded Success,-45,-75,Flop
393,Swag,Comedy,15,20,70,7.5,2.4,4.15,Available,Recorded Success,Recorded Success,-10.85,-72.33333333,Flop
394,Maruti nagar subramanyam,Comedy,4,0,40,7.7,0.339,4,Available,No Recorded Success,Recorded Success,0,0,Flop
395,35 chinna katha kadu,Comedy,15,40,65,7.9,0.537,3.35,Available,Recorded Success,Recorded Success,-11.65,-77.66666667,Flop
396,Pakka commercial,Comedy,12.5,60,73.33,4.2,8.3,14.18,Available,Recorded Success,Recorded Success,1.68,13.44,Hit
397,Slum dog husband,Comedy,1,20,10,6.5,0.221,0.4,Available,Recorded Success,Recorded Success,-0.6,-60,Flop
398,Ramnagar bunny,Comedy,4,0,30,6.9,1,1.35,Available,No Recorded Success,Recorded Success,-2.65,-66.25,Flop
399,Lucky bhaskar,Thriller,56,70,100,8,2.1,107,Available,Recorded Success,Recorded Success,51,91.07142857,Hit
400,Thandel,Thriller,80,80,20,5.9,15,100,Available,Recorded Success,Recorded Success,20,25,Hit
401,Kalki-2989AD,Thriller,200,80,43,7,31,1200,Available,Recorded Success,Recorded Success,1000,500,Hit
402,Fear,Thriller,12,60,30,8.8,1,15,Available,Recorded Success,Recorded Success,3,25,Hit
403,Legally Veer,Thriller,4,100,0,7.9,0.06,0.08,Available,Recorded Success,No Recorded Success,-3.92,-98,Flop
404,Pushpa the rise-part 1,Thriller,200,77.78,52.63,7.6,74,373,Available,Recorded Success,Recorded Success,173,86.5,Hit
405,Hathya,Thriller,6,50,33,7.7,2,0.24,Available,Recorded Success,Recorded Success,-5.76,-96,Flop
406,Agent,Thriller,150,75,25,3.7,0.17,10.05,Available,Recorded Success,Recorded Success,-139.95,-93.3,Flop
407,Devara -1,Thriller,200,80,45,6,20,146,Available,Recorded Success,Recorded Success,-54,-27,Flop
408,Saripodha Sanivaram,Thriller,90,75,60,7,22,94.85,Available,Recorded Success,Recorded Success,4.85,5.388888889,Hit
409,Ramam Raghavam,Thriller,25,84,35,6.2,0.546,0.3,Available,Recorded Success,Recorded Success,-24.7,-98.8,Flop
410,Mangalvaram,Thriller,10,66.67,37.5,6.8,11,21.35,Available,Recorded Success,Recorded Success,11.35,113.5,Hit
411,Guard-Revenge of Love,Thriller,4,50,31,9.3,1,0.03,Available,Recorded Success,Recorded Success,-3.97,-99.25,Flop
412,My name is Shruti,Thriller,2.5,100,40,6.2,2.8,1,Available,Recorded Success,Recorded Success,-1.5,-60,Flop
413,Evaru,Thriller,8,70,71,8.1,7.9,21.12,Available,Recorded Success,Recorded Success,13.12,164,Hit
414,Maguva,Thriller,24,49,25,4.9,0.052,3,Available,Recorded Success,Recorded Success,-21,-87.5,Flop
415,Mr.Bachchan,Thriller,70,80,50,3.6,7.1,7,Available,Recorded Success,Recorded Success,-63,-90,Flop
416,Bharat ane nenu,Thriller,60,80,75,7.4,20,125,Available,Recorded Success,Recorded Success,65,108.3333333,Hit
417,Hit the second case,Thriller,15,70,71,7.1,8.9,35,Available,Recorded Success,Recorded Success,20,133.3333333,Hit
418,Rakshana,Thriller,10,56,60,5.6,1.2,0.54,Available,Recorded Success,Recorded Success,-9.46,-94.6,Flop
419,Eagle,Thriller,150,50,50,5.9,15,30.6,Available,Recorded Success,Recorded Success,-119.4,-79.6,Flop
420,Hit,Thriller,15,70,44,7.6,2.2,22,Available,Recorded Success,Recorded Success,7,46.66666667,Hit
421,Gaami,Thriller,6,60,44.4,6.4,9.6,22,Available,Recorded Success,Recorded Success,16,266.6666667,Hit
422,Yashoda,Thriller,50,65,65,6.5,6.2,30,Available,Recorded Success,Recorded Success,-20,-40,Flop
423,Virupaksha,Thriller,30,85,46.7,7.2,14,90.5,Available,Recorded Success,Recorded Success,60.5,201.6666667,Hit
424,Bhoothaddam Bhaskar Narayana,Thriller,5,50,60,6.3,3.1,6,Available,Recorded Success,Recorded Success,1,20,Hit
425,RED,Thriller,30,60,33,6.5,0.267,6.7,Available,Recorded Success,Recorded Success,-23.3,-77.66666667,Flop
426,Highway,Thriller,25,60,33.33,3.9,1,52.44,Available,Recorded Success,Recorded Success,27.44,109.76,Hit
427,Ghatikachalam,Thriller,50,40,25,7,0.082,1.16,Available,Recorded Success,Recorded Success,-48.84,-97.68,Flop
428,Pushpaka Vimanam,Thriller,20,55,33.3,6.3,0.705,0.55,Available,Recorded Success,Recorded Success,-19.45,-97.25,Flop
429,Ekkadiki Pothavu Chinnavada,Thriller,12,68,41,7.4,0.021,20,Available,Recorded Success,Recorded Success,8,66.66666667,Hit
430,Atharva,Thriller,5,45,42.1,6.7,0.22,0.9,Available,Recorded Success,Recorded Success,-4.1,-82,Flop
431,Chakravyuham:The Trap,Thriller,2,55,71,7.1,0.24,2.5,Available,Recorded Success,Recorded Success,0.5,25,Hit
432,Nene Raju nene Mantri,Thriller,20,70,50,5.8,11,30,Available,Recorded Success,Recorded Success,10,50,Hit
433,Falaknamu Das,Thriller,5,60,44,6.3,5.9,12,Available,Recorded Success,Recorded Success,7,140,Hit
434,The Birthday Boy,Thriller,4,35,70,8.8,3.4,0.13,Available,Recorded Success,Recorded Success,-3.87,-96.75,Flop
435,Khaidi No.150,Thriller,70,90,65,5.8,10,164,Available,Recorded Success,Recorded Success,94,134.2857143,Hit
436,Drushyam 2,Thriller,20,80,83,8.1,17,60,Available,Recorded Success,Recorded Success,40,200,Hit
437,Awe!,Thriller,5,85,90,7.6,1,8,Available,Recorded Success,Recorded Success,3,60,Hit
438,Bujji Ila Raa,Thriller,3,50,50,6.6,2,2,Available,Recorded Success,Recorded Success,-1,-33.33333333,Flop
439,Godse,Thriller,20,50,60,5.7,4.6,4,Available,Recorded Success,Recorded Success,-16,-80,Flop
440,Naandhi,Thriller,15,75,85,7.8,5.3,9.5,Available,Recorded Success,Recorded Success,-5.5,-36.66666667,Flop
441,Aranya,Thriller,45,40,70,7.5,13,25,Available,Recorded Success,Recorded Success,-20,-44.44444444,Flop
442,Amigos,Thriller,60,45,35,6,13,11.75,Available,Recorded Success,Recorded Success,-48.25,-80.41666667,Flop
443,Mishan Impossible,Thriller,25,60,30,6.4,9,6,Available,Recorded Success,Recorded Success,-19,-76,Flop
444,Aswathama,Thriller,25,65,20,6.4,7.5,4.83,Available,Recorded Success,Recorded Success,-20.17,-80.68,Flop
445,Arjuna Phalguna,Thriller,20,40,70,4.8,5.5,3,Available,Recorded Success,Recorded Success,-17,-85,Flop
446,Valmiki,Thriller,30,75.5,75,6.2,1.5,35,Available,Recorded Success,Recorded Success,5,16.66666667,Hit
447,Chanakya,Thriller,50,40.3,35,5.4,6.8,40,Available,Recorded Success,Recorded Success,-10,-20,Flop
448,Spyder,Thriller,100,60.7,75,6.3,15,160,Available,Recorded Success,Recorded Success,60,60,Hit
449,Ichata Vahanumulu Niluparadu,Thriller,15,54.2,50,5.7,3.3,2,Available,Recorded Success,Recorded Success,-13,-86.66666667,Flop
450,KA,Thriller,22,65.8,55,7.2,9.8,2,Available,Recorded Success,Recorded Success,-20,-90.90909091,Flop
451,Matka,Thriller,40,35.9,75,4.7,8.8,2,Available,Recorded Success,Recorded Success,-38,-95,Flop
452,Check,Thriller,25,45,62,6.4,3.1,30,Available,Recorded Success,Recorded Success,5,20,Hit
453,Dorakuna Ituvanti Seva,Thriller,20,40.2,0,8.3,0.126,2,Available,Recorded Success,No Recorded Success,-18,-90,Flop
